resin_or_source,Ec_mJ_cm2,Dp_um,wavelength_nm,notes
ExampleResin_A,6.5,120,405,vendor or paper link
ExampleResin_B,4.8,85,405,vendor or paper link
ExampleResin_C,10.2,200,405,vendor or paper link
Fast_Clear_Gen1,4.0,70,405,low Ec but shallow Dp
Fast_Clear_Gen2,3.2,90,405,improved clear formulation
Tough_Amber,8.0,150,405,tough resin deeper penetration
Black_HiRes,7.5,60,405,pigmented low Dp
Dental_Model,5.5,110,405,balanced Ec/Dp
Castable_WaxLike,9.0,80,405,high Ec more picky
Ultra_Clear_Deep,6.0,220,405,depth-optimized
Budget_Generic,7.0,100,405,mid everything
